T07,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2010,Teachers at tertiary level (thousands),209.4366,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Teachers at primary level (thousands),1176.4578,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Pupil-teacher ratio in primary education,21.9184,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Teachers at secondary level (thousands),1204.9538,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Pupil-teacher ratio in secondary education,15.7136,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2015,Teachers at tertiary level (thousands),258.1130,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Teachers at primary level (thousands),1247.5390,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Pupil-teacher ratio in primary education,22.7634,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Teachers at secondary level (thousands),1255.5899,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Pupil-teacher ratio in secondary education,16.0102,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
15,Northern Africa,2018,Teachers at tertiary level (thousands),269.9382,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Teachers at primary level (thousands),2576.0580,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in primary education,44.0129,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Teachers at secondary level (thousands),1171.6319,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in secondary education,27.3630,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2005,Teachers at tertiary level (thousands),178.8135,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2010,Teachers at primary level (thousands),3167.7236,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in primary education,42.8995,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2010,Teachers at secondary level (thousands),1868.0655,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in secondary education,24.0426,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2010,Teachers at tertiary level (thousands),263.3559,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
