republic of moldova,97.1975,2005-2010,Primary
romania,108.9807,2005-2010,Primary
russian federation,97.46285,2005-2010,Primary
rwanda,134.5709,2005-2010,Primary
saint kitts and nevis,109.7239,2005-2010,Primary
saint lucia,99.26165,2005-2010,Primary
saint vincent & grenadines,112.1378,2005-2010,Primary
samoa,109.7971,2005-2010,Primary
sao tome and principe,123.1012,2005-2010,Primary
saudi arabia,99.14435,2005-2010,Primary
senegal,78.4784,2005-2010,Primary
serbia,103.0238,2005-2010,Primary
seychelles,108.0622,2005-2010,Primary
slovakia,97.6417,2005-2010,Primary
slovenia,100.0044,2005-2010,Primary
solomon islands,97.8128,2005-2010,Primary
somalia,16.6256,2005-2010,Primary
south africa,104.1142,2005-2010,Primary
south-eastern asia,103.8287,2005-2010,Primary
southern asia,100.1279,2005-2010,Primary
spain,102.3494,2005-2010,Primary
sri lanka,99.2878,2005-2010,Primary
state of palestine,87.972,2005-2010,Primary
sub-saharan africa,88.8994,2005-2010,Primary
sudan,59.1303,2005-2010,Primary
suriname,104.182,2005-2010,Primary
sweden,95.6575,2005-2010,Primary
switzerland,102.1477,2005-2010,Primary
syrian arab republic,118.6331,2005-2010,Primary
tajikistan,98.3281,2005-2010,Primary
thailand,100.452,2005-2010,Primary
timor-leste,100.1777,2005-2010,Primary
togo,104.20305,2005-2010,Primary
tonga,110.0998,2005-2010,Primary
"total, all countries or areas",99.731,2005-2010,Primary
trinidad and tobago,97.7656,2005-2010,Primary
tunisia,110.7737,2005-2010,Primary
turkey,100.4938,2005-2010,Primary
tuvalu,109.11685,2005-2010,Primary
uganda,121.1601,2005-2010,Primary
ukraine,106.2346,2005-2010,Primary
united arab emirates,102.0893,2005-2010,Primary
united kingdom,106.3324,2005-2010,Primary
united rep. of tanzania,103.8021,2005-2010,Primary
united states of america,101.3106,2005-2010,Primary
uruguay,113.3649,2005-2010,Primary
uzbekistan,96.9825,2005-2010,Primary
vanuatu,116.1347,2005-2010,Primary
venezuela,101.9642,2005-2010,Primary
viet nam,95.183,2005-2010,Primary
western asia,95.639,2005-2010,Primary
yemen,75.5261,2005-2010,Primary
zambia,108.8322,2005-2010,Primary
afghanistan,83.68254999999999,2010-2015,Primary
albania,99.9662,2010-2015,Primary
algeria,112.7884,2010-2015,Primary
angola,93.25655,2010-2015,Primary
anguilla,118.95065,2010-2015,Primary
antigua and barbuda,105.3512,2010-2015,Primary
argentina,113.78215,2010-2015,Primary
armenia,99.12765,2010-2015,Primary
aruba,113.0363,2010-2015,Primary
australia,105.42275000000001,2010-2015,Primary
austria,100.20935,2010-2015,Primary
azerbaijan,99.3648,2010-2015,Primary
bahamas,85.16685,2010-2015,Primary
bahrain,100.3515,2010-2015,Primary
bangladesh,109.2535,2010-2015,Primary
barbados,98.3209,2010-2015,Primary
belarus,101.3612,2010-2015,Primary
belgium,102.71755,2010-2015,Primary
belize,109.58670000000001,2010-2015,Primary
benin,118.8052,2010-2015,Primary
bermuda,96.5417,2010-2015,Primary
bhutan,107.4709,2010-2015,Primary
bolivia,99.48845,2010-2015,Primary
botswana,102.1402,2010-2015,Primary
brazil,111.6979,2010-2015,Primary
british virgin islands,108.6592,2010-2015,Primary
brunei darussalam,105.91805,2010-2015,Primary
bulgaria,102.22319999999999,2010-2015,Primary
burkina faso,80.23085,2010-2015,Primary
burundi,136.42970000000003,2010-2015,Primary
cabo verde,105.12345,2010-2015,Primary
cambodia,117.8477,2010-2015,Primary
cameroon,103.4422,2010-2015,Primary
canada,100.53190000000001,2010-2015,Primary
central african republic,74.55965,2010-2015,Primary
chad,78.2072,2010-2015,Primary
chile,100.78625,2010-2015,Primary
