southern asia,4583.4536,2005-2010,Primary
spain,180.71,2005-2010,Primary
sri lanka,73.471,2005-2010,Primary
state of palestine,15.789,2005-2010,Primary
sub-saharan africa,2576.058,2005-2010,Primary
sudan [former],118.36349999999999,2005-2010,Primary
suriname,3.52,2005-2010,Primary
sweden,65.516,2005-2010,Primary
tajikistan,32.498,2005-2010,Primary
thailand,347.959,2005-2010,Primary
timor-leste,7.331,2005-2010,Primary
togo,27.8855,2005-2010,Primary
tonga,0.839,2005-2010,Primary
"total, all countries or areas",26889.6238,2005-2010,Primary
trinidad and tobago,7.643000000000001,2005-2010,Primary
tunisia,59.252,2005-2010,Primary
uganda,145.8635,2005-2010,Primary
ukraine,104.028,2005-2010,Primary
united arab emirates,18.378999999999998,2005-2010,Primary
united kingdom,254.824,2005-2010,Primary
united rep. of tanzania,135.013,2005-2010,Primary
united states of america,1730.721,2005-2010,Primary
uruguay,18.139,2005-2010,Primary
uzbekistan,119.473,2005-2010,Primary
viet nam,360.624,2005-2010,Primary
western asia,1289.416,2005-2010,Primary
zambia,45.554,2005-2010,Primary
afghanistan,118.858,2010-2015,Primary
albania,11.131499999999999,2010-2015,Primary
algeria,141.994,2010-2015,Primary
andorra,0.453,2010-2015,Primary
angola,105.946,2010-2015,Primary
anguilla,0.1115,2010-2015,Primary
antigua and barbuda,0.751,2010-2015,Primary
aruba,0.5934999999999999,2010-2015,Primary
austria,29.743,2010-2015,Primary
azerbaijan,43.61,2010-2015,Primary
bahamas,2.402,2010-2015,Primary
bangladesh,395.281,2010-2015,Primary
barbados,1.742,2010-2015,Primary
belarus,23.907,2010-2015,Primary
belgium,66.317,2010-2015,Primary
belize,2.367,2010-2015,Primary
benin,40.4165,2010-2015,Primary
bermuda,0.608,2010-2015,Primary
bhutan,4.436,2010-2015,Primary
botswana,14.342,2010-2015,Primary
brazil,762.132,2010-2015,Primary
british virgin islands,0.242,2010-2015,Primary
brunei darussalam,3.896,2010-2015,Primary
bulgaria,14.7405,2010-2015,Primary
burkina faso,39.077,2010-2015,Primary
burundi,41.722,2010-2015,Primary
cabo verde,3.009,2010-2015,Primary
