djibouti,2016,12.0085
djibouti,2018,13.9915
dominica,2015,10.5221
dominican republic,2002,12.0797
dominican republic,2003,9.7018
dominican republic,2007,12.5779
ecuador,2000,4.9573
ecuador,2010,12.9966
ecuador,2015,12.5977
egypt,2005,15.0436
egypt,2008,10.9418
el salvador,2005,14.6558
el salvador,2008,19.4488
el salvador,2010,16.1642
el salvador,2015,16.6016
el salvador,2016,16.1132
el salvador,2017,15.5921
el salvador,2018,14.945
eritrea,2002,5.6334
eritrea,2004,5.7419
eritrea,2006,5.1681
estonia,2002,15.1452
estonia,2004,14.3061
estonia,2005,14.2577
estonia,2010,13.6428
estonia,2013,12.5826
estonia,2015,12.9666
estonia,2016,13.1083
eswatini,2005,20.8919
eswatini,2010,18.283
eswatini,2014,24.7954
ethiopia,2002,16.1878
ethiopia,2010,26.304
ethiopia,2015,27.0987
fiji,2004,23.7492
fiji,2005,20.2661
fiji,2009,15.8536
fiji,2011,15.2348
fiji,2013,14.3004
finland,2005,12.2497
finland,2010,11.9455
finland,2015,12.4121
finland,2016,12.3351
gabon,2000,17.7065
gabon,2010,13.3304
gabon,2014,11.2255
gambia,2005,5.3442
gambia,2010,17.6112
gambia,2012,13.7955
gambia,2015,11.0329
gambia,2018,11.1883
georgia,2005,11.1813
georgia,2008,8.9376
georgia,2009,8.9983
georgia,2012,6.7078
georgia,2017,12.9534
germany,2010,10.269
germany,2015,10.978
germany,2016,10.9254
ghana,2005,23.43
ghana,2010,20.6961
ghana,2014,20.9851
ghana,2015,23.8088
ghana,2018,18.5982
greece,2005,8.7002
grenada,2003,10.809
grenada,2017,14.0412
guatemala,2008,23.3482
guatemala,2010,19.2969
guatemala,2015,24.0855
guatemala,2018,23.7495
guinea,2005,10.9475
guinea,2010,12.4383
guinea,2015,11.5988
guinea,2018,14.8701
guinea-bissau,2010,9.0692
guinea-bissau,2013,16.1914
guyana,2004,11.0807
guyana,2005,13.8234
guyana,2010,11.8387
guyana,2012,10.1867
guyana,2015,17.8027
guyana,2018,15.9974
haiti,2015,14.5678
haiti,2018,14.4404
honduras,2013,19.8641
honduras,2015,24.6446
honduras,2018,22.9544
hungary,2005,10.8006
hungary,2010,9.671
hungary,2015,9.1287
hungary,2016,10.0679
iceland,2005,17.8101
iceland,2010,14.604
iceland,2015,18.158
iceland,2016,16.8394
india,2005,11.2085
india,2010,11.8337
india,2013,14.0502
indonesia,2005,15.1488
indonesia,2010,16.6542
indonesia,2014,17.6715
indonesia,2015,20.5033
iran,2002,26.3335
iran,2005,22.322
iran,2010,18.8044
iran,2014,19.6649
iran,2015,18.5688
iran,2018,21.1457
ireland,2005,13.5624
ireland,2010,9.284
ireland,2015,13.012
ireland,2016,13.4112
israel,2005,13.1958
israel,2010,13.7138
israel,2015,15.5367
israel,2016,15.4548
italy,2005,9.0137
italy,2010,8.724
italy,2015,8.1204
italy,2016,7.8086
jamaica,2004,11.733
jamaica,2005,14.2694
jamaica,2008,19.1194
jamaica,2009,17.5528
jamaica,2010,16.1029
jamaica,2015,20.0515
jamaica,2018,18.584
japan,2014,9.0933
japan,2016,8.3799
jordan,2018,11.6147
kazakhstan,2005,10.286
kazakhstan,2009,13.0409
kazakhstan,2015,12.193
kazakhstan,2016,13.8384
kazakhstan,2018,13.8802
kenya,2004,26.6682
kenya,2005,27.4693
kenya,2006,25.0814
kenya,2010,20.556
kenya,2015,16.6647
kenya,2018,19.104
kiribati,2001,11.5161
kuwait,2005,13.8541
kuwait,2006,13.37
kyrgyzstan,2005,16.7684
kyrgyzstan,2010,15.6813
